satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,1,58,1,1,2250,0,5,0,3,4,0,4,4,4,5,4,3,4,4,0,0.0
1,1,16,1,0,2245,0,5,0,3,4,0,4,4,3,3,4,5,4,4,127,118.0
1,1,66,1,0,334,0,5,0,5,5,4,4,4,4,0,4,4,4,4,0,0.0
1,1,24,1,0,2016,0,5,0,5,2,0,2,2,3,3,4,4,5,2,0,0.0
1,1,14,1,0,1719,0,5,0,5,1,0,3,1,3,5,5,5,5,1,0,0.0
1,1,33,1,0,1502,0,5,0,5,3,0,3,3,3,4,4,4,5,3,0,0.0
1,1,64,1,0,1254,0,5,0,5,5,0,5,5,4,5,5,3,5,5,0,0.0
1,1,49,1,1,231,0,5,0,5,4,2,2,3,3,0,3,5,3,5,0,0.0
1,1,27,1,0,1729,0,5,0,5,4,0,4,4,5,5,4,2,2,4,0,0.0
1,1,8,1,0,1359,0,5,0,5,3,0,3,3,4,3,1,1,1,3,0,0.0
1,1,64,1,0,2759,0,5,1,1,4,1,4,4,3,4,4,5,5,4,2,0.0
1,1,14,1,1,1849,0,5,1,1,3,1,3,3,3,5,5,3,5,3,4,0.0
1,1,54,1,0,2017,0,5,1,1,5,1,5,5,4,4,4,5,4,5,0,0.0
1,1,68,1,0,840,0,5,1,1,3,4,4,4,4,1,2,5,4,3,0,4.0
1,1,34,1,0,1693,0,5,1,2,4,1,4,4,4,5,4,4,4,4,5,0.0
1,1,52,1,0,2242,0,5,1,3,5,5,4,3,3,1,3,5,3,3,0,0.0
1,1,9,1,0,3191,0,5,1,3,5,1,5,5,3,2,4,4,1,5,7,0.0
1,1,13,1,0,2817,0,5,1,3,2,1,2,2,4,5,4,5,4,2,0,0.0
1,1,23,1,0,4105,0,5,1,4,1,1,1,1,5,5,4,3,5,1,0,0.0
1,1,34,1,0,2883,0,5,1,4,3,1,3,3,5,4,5,4,4,3,0,0.0
1,1,30,1,0,2479,0,5,1,4,1,1,1,1,3,2,5,5,4,1,61,52.0
1,1,10,1,0,2266,0,5,1,4,5,1,4,5,3,3,5,3,5,5,0,0.0
1,1,60,1,0,729,0,5,1,4,5,5,4,3,3,1,3,3,3,5,0,0.0
1,1,69,1,2,1252,0,5,1,5,3,3,5,4,4,1,4,3,4,3,13,23.0
